in1,in4,in7,out1,out2,out3,out4,out5,ex_attr_1,ex_attr_2,ex_attr_3,ex_attr_4,ex_attr_5
-622.308241574872,-623.8857853707989,-621.2520893725142,,,,,,-431.1714309785465,-544.9163493694396,-551.4170330200279,-649.135695871669,-633.9927608769066
-622.645140758409,-623.9392614316778,-621.2253513420748,,,,,,-431.2382760546451,-544.702445125924,-551.4939048575413,-649.124406481039,-633.9972172153131
-622.7975475319138,-624.0061065077764,-621.3456724790522,,,,,,-431.6393465112366,-545.4778480086677,-551.9183710907674,-649.1241093918119,-634.0284115841591
-622.9593126160723,-623.925892416458,-621.2387203572945,,,,,,-431.47223382099014,-545.1636761510042,-551.6610175477878,-649.1287142748321,-633.9927608769066
-623.3349819437465,-623.9125234012383,-621.2654583877339,,,,,,-431.33854366879297,-545.1168845977352,-551.6509907863731,-649.1272288286965,-633.979391861687
-623.7320416957721,-623.9125234012383,-621.2520893725142,,,,,,-431.8398817395324,-544.9765099379283,-551.607541486909,-649.1307938994219,-633.9927608769067
-624.1344490538856,-623.9392614316778,-621.1986133116353,,,,,,-430.8372055980535,-544.6422845574352,-551.5640921874449,-649.1306453548083,-633.9883045385001
-624.6077121926637,-623.8857853707989,-618.5114412524717,,,,,,-431.07116336439856,-544.9497719074888,-551.8114189690097,-649.133764791693,-633.9838482000936
-625.1090502634032,-623.8991543860186,-619.9018188353226,,,,,,-432.2743747341733,-544.9029803542197,-551.4671668271019,-649.1266346502423,-633.9704791848739
-625.5034362123849,-623.9125234012383,-619.8750808048832,,,,,,-431.2716985926944,-544.8227662629015,-551.6509907863731,-649.1299026317405,-633.9838482000936
-625.9205494872401,-623.925892416458,-620.0221399723,,,,,,-431.3719662068423,-544.936402892269,-551.8080767152047,-649.1380725854858,-633.9883045385
-626.4085185427599,-623.8991543860186,-619.9018188353226,,,,,,-431.1714309785464,-545.0634085368564,-551.7479161467161,-649.1324278901708,-633.9838482000936
-626.8122628023954,-623.8857853707989,-619.9151878505422,,,,,,-430.670092907807,-544.7291831563634,-551.5741189488597,-649.1269317394695,-633.9972172153133
-627.2293760772507,-623.8724163555792,-619.8617117896633,,,,,,-431.50565635903945,-545.2037831966634,-551.7178358624716,-649.1368842285775,-633.9972172153131
