in1,in4,in7,out1,out2,out3,out4,out5,ex_attr_1,ex_attr_2,ex_attr_3,ex_attr_4,ex_attr_5
-623.544875482696,-623.8590473403594,-621.2520893725142,1431.7005722751774,1443.1979253641362,1478.0910550876029,1478.8931960007865,1471.9413080865324,-438.12331889280046,-544.9564564150986,-551.6944400858372,-649.1284171856048,-633.9392848160278
-623.6839132409812,-623.9125234012383,-621.8938021030607,1431.9679525795718,1443.8663761251219,1479.8290270661664,1477.1552240222227,1473.0108293041098,-438.29043158304694,-545.1168845977353,-551.7579429081309,-649.1273773733101,-633.9526538312474
-624.4539685176369,-623.8857853707989,-622.5488838488269,1432.9037836449522,1445.7380382558827,1479.6953369139694,1479.9627172183639,1470.0696459557714,-438.0230512786526,-544.7158141411437,-551.6342795173484,-649.133022068625,-633.9392848160277
-625.2681415445179,-623.925892416458,-622.5622528640467,1434.6417556235156,1444.6685170383048,1483.8397316320822,1479.9627172183639,1474.2140406738845,-438.25700904499763,-545.4444254706184,-551.9985851820857,-649.125743382561,-633.9303721392147
-625.8617258202734,-623.8991543860186,-622.5622528640467,1435.577586688896,1447.4760102344462,1483.5723513276882,1479.5616467617722,1470.4707164123631,-438.190163968899,-544.5286479280676,-551.3334766749047,-649.1327249793981,-633.9214594624013
-626.0114587907342,-623.8857853707989,-622.5488838488269,1437.1818685152623,1445.203277647094,1486.3798445238292,1482.5028301101104,1473.6792800650958,-438.02305127865253,-545.0700930444663,-551.9050020755477,-649.1327249793981,-633.9080904471817
-625.6371263645822,-623.9125234012383,-622.5622528640467,1437.8503192762485,1446.2727988646714,1488.919957415576,1483.706041479885,1479.5616467617722,-437.6888258981596,-544.7692902020226,-551.5674344412498,-649.12737737331,-633.9214594624015
-625.5635967808736,-623.9392614316778,-622.5756218792664,1438.7861503416289,1447.8770806910377,1487.9841263501953,1485.1766331540541,1483.1712808710963,-437.25433290351873,-544.7158141411437,-551.704466847252,-649.124109391812,-633.9437411544342
-625.6371263645822,-623.9125234012383,-622.5889908944862,1439.7219814070088,1451.8877852569537,1494.2675635034634,1486.1124642194347,1482.6365202623076,-438.3906991971948,-545.1569916433945,-551.7913654461802,-649.127080284083,-633.9437411544344
-625.7133297513345,-623.9125234012383,-622.5622528640467,1440.5241223201922,1453.3583769311224,1489.3210278721672,1486.7809149804204,1483.4386611754906,-438.25700904499763,-544.9029803542198,-551.7813386847653,-649.1358444162826,-633.9392848160278
-625.2641308399519,-623.925892416458,-622.5622528640467,1441.1925730811781,1457.235391344841,1493.1980422858855,1488.919957415576,1484.5081823930682,-438.15674143084976,-544.8628733085607,-551.5975147254942,-649.1279715517643,-633.9392848160278
